Column,Coverage
CRC.SW.U0939.T,32835727
CRC.SW.U0942.N,26022750
CRC.SW.U0942.T,23698261
CRC.SW.U0949.T,37556067
CRC.SW.U0950.T,32486002
CRC.SW.U0955.T,31465424
CRC.SW.U0960.T,25097580
CRC.SW.U0966.T,36320169
CRC.SW.U0967.T,37128086
CRC.SW.U0970.T,30291240
CRC.SW.U0972.T,30763383
CRC.SW.U0976.T,36662222
CRC.SW.U0977.T,37226553
CRC.SW.U0984.T,21496520
CRC.SW.U0987.T,37419655
CRC.SW.U0991.T,23706244
CRC.SW.U0993.T,21422995
CRC.SW.U0999.T,26830865
CRC.SW.U1004.T,31300498
CRC.SW.U1007.T,28320028
CRC.SW.U1013.T,7092541
CRC.SW.U1017.T,27173021
CRC.SW.U1018.T,27589794
CRC.SW.U1022.T,31343403
CRC.SW.U1031.T,28016004
CRC.SW.U1032.T,39209567
CRC.SW.U1034.T,27191975
CRC.SW.U1037.T,27521997
CRC.SW.U1040.T,31181305
CRC.SW.U1041.T,27529195
CRC.SW.U1044.T,32953577
CRC.SW.U1045.T,35322136
CRC.SW.U1046.T,25637834
CRC.SW.U1047.T,35136334
CRC.SW.U1049.T,34640377
CRC.SW.U1059.T,27549555
CRC.SW.U1062.T,28669189
CRC.SW.U1065.T,28733290
CRC.SW.U1067.T,29273073
CRC.SW.U1069.T,34556083
CRC.SW.U1071.T,24361283
CRC.SW.U1073.T,25843575
CRC.SW.U1074.T,33538384
CRC.SW.U1075.T,26713309
CRC.SW.U1078.T,33892518
CRC.SW.U1086.T,24791399
CRC.SW.U1088.T,26634604
CRC.SW.U1094.T,31957050
CRC.SW.U1095.T,29340191
CRC.SW.U1097.T,30378454
CRC.SW.U1099.N,26333033
CRC.SW.U1099.T,19974815
CRC.SW.U1102.T,27326943
CRC.SW.U1103.T,26707426
CRC.SW.U1104.T,27949586
CRC.SW.U1107.T,26968897
CRC.SW.U1111.T,29798490
CRC.SW.U1114.T,31249303
CRC.SW.U1120.T,30371193
CRC.SW.U1122.T,29208269
CRC.SW.U1127.N,25982186
CRC.SW.U1127.T,24230291
CRC.SW.U1129.T,32243031
CRC.SW.U1130.T,41234886
CRC.SW.U1145.N,22104787
CRC.SW.U1145.T,24393204
CRC.SW.U1147.T,36288869
CRC.SW.U1150.T,22991558
CRC.SW.U1155.T,32746964
CRC.SW.U1158.T,30568460
CRC.SW.U1160.T,30688990
CRC.SW.U1162.T,36868195
CRC.SW.U1183.T,22100674
CRC.SW.U1184.T,28982788
CRC.SW.U1188.T,27781250
CRC.SW.U1201.T,29095562
CRC.SW.U1204.T,36598468
CRC.SW.U1208.T,27767125
CRC.SW.U1212.N,28893421
CRC.SW.U1212.T,28220998
CRC.SW.U1213.N,22998825
CRC.SW.U1213.T,28709289
CRC.SW.U1220.T,30860127
CRC.SW.U1228.T,31582523
CRC.SW.U1235.T,29569015
CRC.SW.U1239.T,36154586
CRC.SW.U1240.T,31130139
CRC.SW.U1241.T,31005231
CRC.SW.U1246.T,28468468
CRC.SW.U1250.T,26274757
CRC.SW.U1251.T,31906637
CRC.SW.U1252.T,25752565
CRC.SW.U1253.T,33814458
CRC.SW.U1257.T,29426378
CRC.SW.U1258.T,26806183
CRC.SW.U1264.T,27185025
CRC.SW.U1267.T,30435635
CRC.SW.U1274.T,24992632
CRC.SW.U1276.T,29495030
CRC.SW.U1292.T,28342197
CRC.SW.U1301.T,36300429
CRC.SW.U1303.T,33323937
CRC.SW.U1304.T,31488683
CRC.SW.U1317.T,24157859
CRC.SW.U1321.T,36442119
CRC.SW.U1327.T,22229215
CRC.SW.U1332.T,26193202
CRC.SW.U1338.T,29986982
CRC.SW.U1343.T,28856157
CRC.SW.U1344.T,28658584
CRC.SW.U1346.T,24202655
CRC.SW.U1347.T,25747299
CRC.SW.U1349.T,26950038
CRC.SW.U1352.T,34671777
CRC.SW.U1366.T,33715522
CRC.SW.U1369.T,27854424
CRC.SW.U1374.T,26799845
CRC.SW.U1384.T,1717036
CRC.SW.U1386.T,31142244
CRC.SW.U1392.T,30160156
CRC.SW.U1396.T,25171731
CRC.SW.U1401.T,28501030
CRC.SW.U1429.T,27768737
CRC.SW.U1432.N,29060271
CRC.SW.U1432.T,28332931
CRC.SW.U1436.T,31069375
CRC.SW.U1446.T,30015779
CRC.SW.U1447.T,32154445
CRC.SW.U1448.T,38958540
CRC.SW.U1454.N,22178997
CRC.SW.U1454.T,27569638
CRC.SW.U1472.T,23373092
CRC.SW.U1473.T,26562748
CRC.SW.U1474.T,36162640
